"","RESPID","Q 1","Q 2","Q 3","Q 4","Q 5","Q 6","Q 7","Q 8","Q 9","Q 10","Q 11","Q 12","Q 13","Q 14","Q 15","Q 16","Q 17","Q 18","Q 19","Q 20","Q 21","Q 22","Q 23","Q 24","Q 25","Q 26","Q 27","Q 28","Q 29","Q 30","Q 31","Q 32","Q 33","Q 34","Q 35","Q 36","Q 37","Q 38","Q 39","Q 40","Q 41","Q 42","Q 43","Q 44","Q 45","Q 46","Q 47","Q 48","Q 49","Q 50","Q 51","Q 52","Q 53","Q 54","Q 55","Q 56","Q 57","Q 58","Q 59","Q 60","Q 61","Q 62","Q 63","Q 64","Q 65","Q 66","Q 67","Q 68","Q 69","Q 70","Q 71","Q 72","Q 73","Q 74","Q 75","Q 76","Q 77","Q 78","Q 79","Q 80","Q 81"
"736",2394,5,2,4,4,5,5,5,3,5,4,4,1,5,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,2,1,5,3,4,12,5,5,4,4,3,4,3,5,3,5,8,1,19,1,1,2,3,4,5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,2,5,5,3,1,0
"1188",222531,4,2,3,4,3,4,4,2,3,4,1,2,2,3,3,2,2,4,5,1,5,4,2,5,2,3,2,2,4,1,1,4,2,3,22,1,5,5,3,2,2,2,4,3,4,20,2,13,1,1,4,46,2,3,3,3,3,3,3,4,4,2,3,4,2,4,4,4,2,3,4,3,4,3,3,2,3,3,3,0,1
"996",12953,3,3,4,1,2,2,4,2,3,3,4,5,1,2,2,4,4,5,1,3,1,2,5,2,4,4,3,3,5,1,1,3,4,4,55,3,2,1,4,2,3,4,3,1,2,21,1,1,5,1,3,3,4,1,1,2,2,2,1,4,3,2,5,4,2,1,4,3,5,2,2,2,1,2,3,3,5,1,1,0,0
"1639",21765,4,3,4,4,4,4,5,3,3,4,3,2,4,5,4,3,3,5,5,2,4,4,3,4,3,3,3,2,3,0,0,4,5,2,25,2,5,5,4,2,4,3,4,3,4,30,2,12,1,7,1,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,0,0
"982",16626,5,5,4,5,4,5,4,5,4,5,4,5,5,4,4,3,5,4,4,4,4,5,5,5,5,4,3,5,5,0,0,5,5,4,20,1,5,3,5,2,3,4,5,4,5,20,2,17,6,1,1,10,3,4,3,4,4,5,4,5,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,5,4,4,3,0,0
"229",240190,4,3,4,4,4,3,3,4,3,3,4,2,3,3,4,3,4,5,4,3,4,4,3,4,3,3,3,3,4,1,1,5,5,6,25,3,4,4,4,3,4,2,3,3,4,50,1,15,1,1,3,54,3,3,4,4,4,5,4,4,4,5,4,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,3,0,1
"632",1603,4,4,5,4,4,4,4,5,5,4,4,4,4,5,5,4,5,5,4,4,4,5,4,5,5,4,4,5,4,2,1,5,6,5,10,5,3,2,4,2,5,3,3,2,2,5,1,15,6,1,1,15,4,4,4,3,4,3,5,4,4,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,3,4,0,0
"937",9910,5,4,4,5,4,4,4,5,5,4,5,4,5,4,5,5,5,5,4,5,4,5,5,4,4,4,5,4,4,1,1,5,4,4,34,5,1,2,3,2,4,4,4,4,4,34,2,10,5,1,2,30,4,4,4,5,4,5,4,4,4,2,4,2,5,4,5,4,4,4,5,4,5,4,5,4,5,5,5,0,0
"1400",19937,4,2,2,4,4,4,2,3,2,3,4,2,3,3,3,3,3,4,4,3,5,4,4,5,3,3,4,4,4,1,1,5,3,3,18,1,5,5,4,3,4,3,5,4,3,30,2,15,1,1,2,1,4,4,4,4,4,4,4,4,5,5,4,4,3,4,5,3,5,4,4,4,4,5,5,3,4,5,4,1,0
"299",2390,3,5,3,4,4,4,4,4,3,5,4,3,4,4,4,4,3,4,4,4,3,3,3,5,4,3,5,5,4,1,1,3,5,6,25,4,5,5,5,2,4,5,5,5,5,60,2,17,1,1,2,18,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,4,4,5,4,5,5,4,5,4,4,1,0
"516",226409,5,3,1,3,3,5,5,3,2,3,5,3,3,2,2,4,3,5,5,3,5,3,2,5,5,3,2,1,5,1,1,4,3,5,27,1,5,5,4,2,2,4,4,4,5,60,2,12,6,1,1,3,5,3,3,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,5,1,1
"791",21827,4,3,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,2,4,3,3,4,4,4,3,3,3,1,1,4,3,4,20,1,4,5,3,3,2,4,3,5,4,50,2,16,1,1,2,10,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
"7",11445,4,3,4,4,5,5,5,5,3,1,5,3,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,1,1,3,5,8,20,2,4,4,4,3,3,2,4,5,4,30,1,19,1,1,2,3,4,4,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,0,0
